Provisional list of polling places released at beginning of election,,,,,,,,,,,,
State,DivisionNm,DivisionID,PollingPlaceNm,PremisesNm,PremisesAddress1,PremisesAddress2,PremisesAddress3,PremisesSuburb,PremisesStateAb,PremisesPostcode,Latitude,Longitude
NSW,Berowra,106,Glenorie,Glenorie Public School,1731-1739 Old Northern Rd,,,GLENORIE,NSW,2157,-33.60086258,151.0075888
NSW,Berowra,106,Glenorie West,Hillside Public School,122 Cattai Ridge Rd,,,GLENORIE,NSW,2157,-33.60157877,150.976135
NSW,Berowra,106,Hornsby (Berowra),TAFE NSW Hornsby (Northern Sydney Institute),205 Peats Ferry Rd,,,HORNSBY,NSW,2077,-33.69849208,151.0973294
NSW,Berowra,106,Hornsby Central (Berowra),Hornsby Girls High School,12 Edgeworth David Ave,,,HORNSBY,NSW,2077,-33.70617757,151.1012821
NSW,Berowra,106,Hornsby Heights,Hornsby Heights Public School,8-20 Somerville Rd,,,HORNSBY HEIGHTS,NSW,2077,-33.670187,151.0966482
NSW,Berowra,106,Hornsby North,Hornsby North Public School,52 Ida St,,,HORNSBY,NSW,2077,-33.6833,151.098
NSW,Berowra,106,Hornsby South,Hornsby South Public School,57-63 Clarke Rd,,,HORNSBY,NSW,2077,-33.71342814,151.0951333
NSW,Berowra,106,Hornsby West (Berowra),Hornsby War Memorial Hall,2 High St,,,HORNSBY,NSW,2077,-33.70446,151.097122
NSW,Berowra,106,Kenthurst,Kenthurst Public School,111 Kenthurst Rd,,,KENTHURST,NSW,2156,-33.66590425,151.0047313
NSW,Berowra,106,Maroota,Maroota Public School,4540 Old Northern Rd,,,MAROOTA,NSW,2756,-33.45501778,150.9934978
NSW,Berowra,106,Maroota South,Midway Christian Centre,5 Sackville Ferry Rd,,,SOUTH MAROOTA,NSW,2756,-33.48698353,150.9482248
NSW,Berowra,106,Middle Dural,Middle Dural Public School,1251 Old Northern Rd,,,MIDDLE DURAL,NSW,2158,-33.64494175,151.0231462
NSW,Berowra,106,Mount Colah,Mount Colah Public School,19-21 Telopea St,,,MOUNT COLAH,NSW,2079,-33.67244366,151.1156777
NSW,Berowra,106,Mount Kuring-Gai,Mount Kuring-Gai Public School,2-14 Leeming St,,,MOUNT KURING-GAI,NSW,2080,-33.6575,151.136
NSW,Berowra,106,Normanhurst (Berowra),Normanhurst Public School,2-12 Normanhurst Rd,,,NORMANHURST,NSW,2076,-33.7237,151.098
NSW,Berowra,106,Normanhurst West,Normanhurst West Public School,2-18 Dartford Rd,,,THORNLEIGH,NSW,2120,-33.72065236,151.0879955
NSW,Berowra,106,Pennant Hills,Pennant Hills High School,19-43 Laurence St,,,PENNANT HILLS,NSW,2120,-33.73385847,151.0629864
NSW,Berowra,106,Rogans Hill,,,,,,,,,
NSW,Berowra,106,Rogans Hill North,Oakhill Drive Public School,1-5 Oakhill Dr,,,CASTLE HILL,NSW,2154,-33.721514,151.0232634
NSW,Berowra,106,Rogans Hill South,,,,,,,,,
NSW,Berowra,106,Sydney (Berowra),,,,,,,,,
NSW,Berowra,106,Thornleigh,Chinese & Australian Baptist Church,235 Pennant Hills Rd,,,THORNLEIGH,NSW,2120,-33.72832746,151.0845713
NSW,Berowra,106,West Pennant Hills,West Pennant Hills Community Church,41-43 Eaton Rd,,,WEST PENNANT HILLS,NSW,2125,-33.756832,151.042589
NSW,Berowra,106,West Pennant Hills Central,West Pennant Hills Public School,1 Church St,,,WEST PENNANT HILLS,NSW,2125,-33.7459033,151.0501363
NSW,Berowra,106,West Pennant Hills North (Berowra),West Pennant Hills Community Centre,42 Hill Road,,,WEST PENNANT HILLS,NSW,2125,-33.74759379,151.02736
NSW,Berowra,106,Westleigh,Thornleigh West Public School,18 Giblett Ave,,,THORNLEIGH,NSW,2120,-33.72385601,151.0721461
NSW,Berowra,106,Wisemans Ferry,Wisemans Ferry Public School,5540-5542 Old Northern Rd,,,WISEMANS FERRY,NSW,2775,-33.3954535,150.9849427
NSW,Blaxland,107,Auburn,Auburn Public School,131 Auburn Rd,,,AUBURN,NSW,2144,-33.85478946,151.0313969
NSW,Blaxland,107,Auburn Central,St Thomas Anglican Church Auburn,3A Provincial St,,,AUBURN,NSW,2144,-33.85600766,151.0282998
NSW,Blaxland,107,Auburn East,St Joseph the Worker Hall,cnr Wellington Rd & Renshaw Ave,,,AUBURN,NSW,2144,-33.8652,151.025
NSW,Blaxland,107,Auburn North,Auburn Girls High School,Hunter St,,,AUBURN,NSW,2144,-33.8433,151.034
NSW,Blaxland,107,Auburn West,Auburn West Public School,92 Chiswick Rd,,,AUBURN,NSW,2144,-33.86091218,151.0197527
NSW,Blaxland,107,Bankstown (Blaxland),,,,,,,,,
NSW,Blaxland,107,Bankstown (Blaxland),Bankstown Public School,61 Restwell St,,,BANKSTOWN,NSW,2200,-33.9209,151.034
NSW,Blaxland,107,Bankstown Central,,,,,,,,,
NSW,Blaxland,107,Bankstown Central (Blaxland),Bankstown Senior Citizens Centre,7 West Tce,,,BANKSTOWN,NSW,2200,-33.91892299,151.0361539
